,items,own,hunt,asap
0,Avietės,0,0,0
1,Aviečių uogienė,0,0,0
2,Avižų gėrimas,0,0,0
3,Bananai,0,0,0
4,Bulvės,0,0,0
5,Burokėliai,0,0,0
6,Druska,0,0,0
7,Džiovinti krapai,0,0,0
8,Grietinė,0,0,0
9,Imbieras,0,0,0
10,Karis,0,0,0
11,Kefyras,0,0,0
12,Kiaušiniai,0,0,0
13,Kokosų gėrimas,0,0,0
14,Kopūstai,0,0,0
15,Laurų lapai,0,0,0
16,Maltos aitriosios paprikos,0,0,0
17,Morkos,0,0,0
18,Paprikos,0,0,0
19,Pienas UAT,0,0,0
20,Pomidorų pasta,0,0,0
21,Rausvieji svogūnai,0,0,0
22,Ridikėliai,0,0,0
23,Skumbrė,0,0,0
24,Sviestas,0,0,0
25,Sviestinis moliūgas,0,0,0
26,Svogūnai,0,0,0
27,Svogūnų laiškai,0,0,0
28,Trumpavaisiai agurkai,0,0,0
29,Viščiukų blauzdelės,0,0,0
30,Viščiukų filė,0,0,0
31,Šilauogės,0,0,0
32,Špinatai,0,0,0
